obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
642	2025-10-14	12	1.5	IOANNINA (AIRPORT)	2025-10-14	12	1.94895	IOANNINA (AIRPORT)
642	2025-10-15	12	2.6	IOANNINA (AIRPORT)	2025-10-15	12	0.629807	IOANNINA (AIRPORT)
642	2025-10-16	12	1	IOANNINA (AIRPORT)	2025-10-16	12	1.36023	IOANNINA (AIRPORT)
642	2025-10-17	12	2.6	IOANNINA (AIRPORT)	2025-10-17	12	3.24247	IOANNINA (AIRPORT)
642	2025-10-18	12	0.5	IOANNINA (AIRPORT)	2025-10-18	12	2.13577	IOANNINA (AIRPORT)
642	2025-10-19	12	1	IOANNINA (AIRPORT)	2025-10-19	12	0.666762	IOANNINA (AIRPORT)
642	2025-10-20	12	0.5	IOANNINA (AIRPORT)	2025-10-20	12	1.1871	IOANNINA (AIRPORT)
642	2025-10-21	12	1	IOANNINA (AIRPORT)	2025-10-21	12	0.61473	IOANNINA (AIRPORT)
642	2025-10-22	12	2.6	IOANNINA (AIRPORT)	2025-10-22	12	2.4638	IOANNINA (AIRPORT)
642	2025-10-23	12	0.5	IOANNINA (AIRPORT)	2025-10-23	12	0.729319	IOANNINA (AIRPORT)
