obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
667	2025-11-22	MYTILINI (AIRPORT)	0	1018	2025-11-20	48	1016.56
667	2025-11-23	MYTILINI (AIRPORT)	0	1017.6	2025-11-21	48	1016.03
667	2025-11-24	MYTILINI (AIRPORT)	0	1017	2025-11-22	48	1016.42
667	2025-11-25	MYTILINI (AIRPORT)	0	1019.6	2025-11-23	48	1018.94
667	2025-11-26	MYTILINI (AIRPORT)	0	1016.5	2025-11-24	48	1015.24
667	2025-11-27	MYTILINI (AIRPORT)	0	1015.9	2025-11-25	48	1014.96
667	2025-11-28	MYTILINI (AIRPORT)	0	1017.4	2025-11-26	48	1016.5
667	2025-11-29	MYTILINI (AIRPORT)	0	1014.5	2025-11-27	48	1013.6
667	2025-11-30	MYTILINI (AIRPORT)	0	1010.5	2025-11-28	48	1010.73
675	2025-11-03	LAMIA	0	1019.8	2025-11-01	48	1019.04
675	2025-11-04	LAMIA	0	1018.2	2025-11-02	48	1017.57
675	2025-11-05	LAMIA	0	1020.9	2025-11-03	48	1020.51
675	2025-11-06	LAMIA	0	1019.8	2025-11-04	48	1019.41
675	2025-11-07	LAMIA	0	1016.6	2025-11-05	48	1016.69
675	2025-11-08	LAMIA	0	1016.2	2025-11-06	48	1016.73
675	2025-11-09	LAMIA	0	1017.1	2025-11-07	48	1017.02
675	2025-11-10	LAMIA	0	1015.1	2025-11-08	48	1015.23
675	2025-11-11	LAMIA	0	1013	2025-11-09	48	1012.04
675	2025-11-12	LAMIA	0	1018.3	2025-11-10	48	1018.41
675	2025-11-13	LAMIA	0	1023.1	2025-11-11	48	1023.01
675	2025-11-14	LAMIA	0	1022.8	2025-11-12	48	1022.55
675	2025-11-15	LAMIA	0	1020.1	2025-11-13	48	1020.38
675	2025-11-16	LAMIA	0	1017.3	2025-11-14	48	1017.35
