obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
667	2025-11-15	MYTILINI (AIRPORT)	6	0	2025-11-15	6	18.2246
667	2025-11-16	MYTILINI (AIRPORT)	6	0	2025-11-16	6	26.4707
667	2025-11-17	MYTILINI (AIRPORT)	6	25	2025-11-17	6	3.21289
667	2025-11-18	MYTILINI (AIRPORT)	6	63	2025-11-18	6	44.8203
667	2025-11-19	MYTILINI (AIRPORT)	6	88	2025-11-19	6	100
667	2025-11-20	MYTILINI (AIRPORT)	6	63	2025-11-20	6	99.4414
667	2025-11-21	MYTILINI (AIRPORT)	6	38	2025-11-21	6	74.2734
667	2025-11-22	MYTILINI (AIRPORT)	6	50	2025-11-22	6	96.918
667	2025-11-23	MYTILINI (AIRPORT)	6	88	2025-11-23	6	99.9766
667	2025-11-24	MYTILINI (AIRPORT)	6	25	2025-11-24	6	18.1406
667	2025-11-25	MYTILINI (AIRPORT)	6	38	2025-11-25	6	100
667	2025-11-26	MYTILINI (AIRPORT)	6	100	2025-11-26	6	99.9941
667	2025-11-27	MYTILINI (AIRPORT)	6	38	2025-11-27	6	2.70312
667	2025-11-28	MYTILINI (AIRPORT)	6	88	2025-11-28	6	99.543
667	2025-11-29	MYTILINI (AIRPORT)	6	100	2025-11-29	6	99.9609
667	2025-11-30	MYTILINI (AIRPORT)	6	88	2025-11-30	6	99.4961
675	2025-11-08	LAMIA	6	50	2025-11-08	6	99.2148
682	2025-11-01	ANDRAVIDA (AIRPORT)	6	100	2025-11-01	6	92.3105
682	2025-11-02	ANDRAVIDA (AIRPORT)	6	75	2025-11-02	6	99.4199
682	2025-11-03	ANDRAVIDA (AIRPORT)	6	50	2025-11-03	6	70.1074
682	2025-11-04	ANDRAVIDA (AIRPORT)	6	88	2025-11-04	6	100
682	2025-11-05	ANDRAVIDA (AIRPORT)	6	38	2025-11-05	6	33.5703
682	2025-11-06	ANDRAVIDA (AIRPORT)	6	25	2025-11-06	6	0.0605469
682	2025-11-07	ANDRAVIDA (AIRPORT)	6	25	2025-11-07	6	23.2598
682	2025-11-08	ANDRAVIDA (AIRPORT)	6	75	2025-11-08	6	91.7051
682	2025-11-09	ANDRAVIDA (AIRPORT)	6	88	2025-11-09	6	97.4727
682	2025-11-10	ANDRAVIDA (AIRPORT)	6	88	2025-11-10	6	100
682	2025-11-11	ANDRAVIDA (AIRPORT)	6	63	2025-11-11	6	26.2695
682	2025-11-12	ANDRAVIDA (AIRPORT)	6	88	2025-11-12	6	52.4355
682	2025-11-13	ANDRAVIDA (AIRPORT)	6	0	2025-11-13	6	7.17773
682	2025-11-14	ANDRAVIDA (AIRPORT)	6	13	2025-11-14	6	99.2441
