obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
642	2025-11-13	IOANNINA (AIRPORT)	9	6.45	2025-11-13	9	5.16211
642	2025-11-14	IOANNINA (AIRPORT)	9	6.45	2025-11-14	9	7.2193
642	2025-11-15	IOANNINA (AIRPORT)	9	6.25	2025-11-15	9	6.62825
642	2025-11-16	IOANNINA (AIRPORT)	9	5.95	2025-11-16	9	5.90934
642	2025-11-17	IOANNINA (AIRPORT)	9	8.45	2025-11-17	9	7.06046
642	2025-11-18	IOANNINA (AIRPORT)	9	14.75	2025-11-18	9	14.0197
642	2025-11-19	IOANNINA (AIRPORT)	9	13.45	2025-11-19	9	12.8814
642	2025-11-20	IOANNINA (AIRPORT)	9	11.45	2025-11-20	9	12.5603
642	2025-11-21	IOANNINA (AIRPORT)	9	13.45	2025-11-21	9	12.6846
642	2025-11-22	IOANNINA (AIRPORT)	9	11.75	2025-11-22	9	11.3096
642	2025-11-23	IOANNINA (AIRPORT)	9	7.25	2025-11-23	9	7.36279
642	2025-11-24	IOANNINA (AIRPORT)	9	5.95	2025-11-24	9	3.04083
642	2025-11-25	IOANNINA (AIRPORT)	9	10.25	2025-11-25	9	8.75639
642	2025-11-26	IOANNINA (AIRPORT)	9	11.95	2025-11-26	9	11.3006
642	2025-11-27	IOANNINA (AIRPORT)	9	8.95	2025-11-27	9	9.72398
642	2025-11-28	IOANNINA (AIRPORT)	9	7.45	2025-11-28	9	6.63499
642	2025-11-29	IOANNINA (AIRPORT)	9	7.95	2025-11-29	9	5.92197
642	2025-11-30	IOANNINA (AIRPORT)	9	8.95	2025-11-30	9	6.06607
643	2025-11-01	AKTION (AIRPORT)	9	14.95	2025-11-01	9	15.9104
643	2025-11-02	AKTION (AIRPORT)	9	15.25	2025-11-02	9	15.8593
643	2025-11-03	AKTION (AIRPORT)	9	17.15	2025-11-03	9	17.1701
643	2025-11-04	AKTION (AIRPORT)	9	17.75	2025-11-04	9	16.238
643	2025-11-05	AKTION (AIRPORT)	9	12.25	2025-11-05	9	12.3936
